Cnt      PC           IR           RegW  RDin         MemW  MDin
00b2     00000084     2231fffc     0     00000000     0     00000000
00b3     00000084     2231fffc     0     00000000     0     00000000
00b4     00000084     2231fffc     1     00000010     0     00000000
00b5     00000084     2231fffc     0     00000000     0     00000000
00b6     00000088     1611fff8     0     00000000     0     00000000
00b7     00000088     1611fff8     0     00000000     0     00000000
00b8     00000068     1611fff8     0     00000000     0     00000000
00b9     0000006c     8e130200     0     00000000     0     00000000
00ba     0000006c     8e130200     0     00000000     0     00000000
00bb     0000006c     8e130200     0     00000000     0     00000000
00bc     0000006c     8e130200     1     00000006     0     00000000
00bd     0000006c     8e130200     0     00000000     0     00000000
00be     00000070     8e340200     0     00000000     0     00000000
00bf     00000070     8e340200     0     00000000     0     00000000
00c0     00000070     8e340200     0     00000000     0     00000000
00c1     00000070     8e340200     1     00000003     0     00000000
00c2     00000070     8e340200     0     00000000     0     00000000
00c3     00000074     0274402a     0     00000000     0     00000000
00c4     00000074     0274402a     0     00000000     0     00000000
00c5     00000074     0274402a     1     00000000     0     00000000
00c6     00000074     0274402a     0     00000000     0     00000000
00c7     00000078     11000002     0     00000000     0     00000000
00c8     00000078     11000002     0     00000000     0     00000000
00c9     00000080     11000002     0     00000000     0     00000000
00ca     00000084     2231fffc     0     00000000     0     00000000
00cb     00000084     2231fffc     0     00000000     0     00000000
00cc     00000084     2231fffc     1     0000000c     0     00000000
00cd     00000084     2231fffc     0     00000000     0     00000000
00ce     00000088     1611fff8     0     00000000     0     00000000
00cf     00000088     1611fff8     0     00000000     0     00000000
00d0     00000068     1611fff8     0     00000000     0     00000000
00d1     0000006c     8e130200     0     00000000     0     00000000
00d2     0000006c     8e130200     0     00000000     0     00000000
00d3     0000006c     8e130200     0     00000000     0     00000000
00d4     0000006c     8e130200     1     00000006     0     00000000
00d5     0000006c     8e130200     0     00000000     0     00000000
00d6     00000070     8e340200     0     00000000     0     00000000
00d7     00000070     8e340200     0     00000000     0     00000000
00d8     00000070     8e340200     0     00000000     0     00000000
00d9     00000070     8e340200     1     00000002     0     00000000
00da     00000070     8e340200     0     00000000     0     00000000
00db     00000074     0274402a     0     00000000     0     00000000
00dc     00000074     0274402a     0     00000000     0     00000000
00dd     00000074     0274402a     1     00000000     0     00000000
00de     00000074     0274402a     0     00000000     0     00000000
00df     00000078     11000002     0     00000000     0     00000000
00e0     00000078     11000002     0     00000000     0     00000000
00e1     00000080     11000002     0     00000000     0     00000000
00e2     00000084     2231fffc     0     00000000     0     00000000
00e3     00000084     2231fffc     0     00000000     0     00000000
00e4     00000084     2231fffc     1     00000008     0     00000000
00e5     00000084     2231fffc     0     00000000     0     00000000
00e6     00000088     1611fff8     0     00000000     0     00000000
00e7     00000088     1611fff8     0     00000000     0     00000000
00e8     00000068     1611fff8     0     00000000     0     00000000
00e9     0000006c     8e130200     0     00000000     0     00000000
00ea     0000006c     8e130200     0     00000000     0     00000000
00eb     0000006c     8e130200     0     00000000     0     00000000
00ec     0000006c     8e130200     1     00000006     0     00000000
00ed     0000006c     8e130200     0     00000000     0     00000000
00ee     00000070     8e340200     0     00000000     0     00000000
00ef     00000070     8e340200     0     00000000     0     00000000
00f0     00000070     8e340200     0     00000000     0     00000000
00f1     00000070     8e340200     1     00000001     0     00000000
00f2     00000070     8e340200     0     00000000     0     00000000
00f3     00000074     0274402a     0     00000000     0     00000000
00f4     00000074     0274402a     0     00000000     0     00000000
00f5     00000074     0274402a     1     00000000     0     00000000
00f6     00000074     0274402a     0     00000000     0     00000000
00f7     00000078     11000002     0     00000000     0     00000000
00f8     00000078     11000002     0     00000000     0     00000000
00f9     00000080     11000002     0     00000000     0     00000000
00fa     00000084     2231fffc     0     00000000     0     00000000
00fb     00000084     2231fffc     0     00000000     0     00000000
00fc     00000084     2231fffc     1     00000004     0     00000000
00fd     00000084     2231fffc     0     00000000     0     00000000
00fe     00000088     1611fff8     0     00000000     0     00000000
00ff     00000088     1611fff8     0     00000000     0     00000000
0100     00000068     1611fff8     0     00000000     0     00000000
0101     0000006c     8e130200     0     00000000     0     00000000
